image_name,cluster_id,AccoID,AccoDocNo,AccoDate,timestamp,AccoAmount,Quantity,Discount,UnitPrice,StockCateDesc,StockName,StockDesciption,predicted_gender,confidence,predicted_age,age_confidence
cluster_097_AccoID_1168992_20251105_110818.png,97,1168992,224600/85,2025-11-05 11:09:00,2025-11-05 11:08:18,-96.0,1.0,0.0,20.0,Beverages Cold,WATER,thirsty mineral still,Female,0.917,31–40,0.46
cluster_097_AccoID_1168992_20251105_110818.png,97,1168992,224600/85,2025-11-05 11:09:00,2025-11-05 11:08:18,-96.0,2.0,0.0,10.0,Extra,EXTRA,almond milk,Female,0.917,31–40,0.46
cluster_097_AccoID_1168992_20251105_110818.png,97,1168992,224600/85,2025-11-05 11:09:00,2025-11-05 11:08:18,-96.0,1.0,0.0,20.0,Beverages Coffee,COFFEE,americano black ,Female,0.917,31–40,0.46
cluster_097_AccoID_1168992_20251105_110818.png,97,1168992,224600/85,2025-11-05 11:09:00,2025-11-05 11:08:18,-96.0,1.0,0.0,36.0,Beverages Tea,RED CAPPUCCINO,none,Female,0.917,31–40,0.46
cluster_098_AccoID_1168974_20251105_110001.png,98,1168974,224597/75,2025-11-05 11:01:00,2025-11-05 11:00:01,-175.0,1.0,0.0,24.0,Beverages Tea,TEA,tea five roses,Female,0.988,21–30,0.233
cluster_098_AccoID_1168974_20251105_110001.png,98,1168974,224597/75,2025-11-05 11:01:00,2025-11-05 11:00:01,-175.0,1.0,0.0,29.0,Beverages Coffee,COFFEE,cappuccino,Female,0.988,21–30,0.233
cluster_098_AccoID_1168974_20251105_110001.png,98,1168974,224597/75,2025-11-05 11:01:00,2025-11-05 11:00:01,-175.0,1.0,0.0,33.0,Breakfast,BREAKFAST,small  ,Female,0.988,21–30,0.233
cluster_098_AccoID_1168974_20251105_110001.png,98,1168974,224597/75,2025-11-05 11:01:00,2025-11-05 11:00:01,-175.0,1.0,0.0,89.0,Tramezinni's,TRAMEZZINI,breakfast café,Female,0.988,21–30,0.233
cluster_100_AccoID_1168888_20251105_104357.png,100,1168888,224585/70,2025-11-05 10:45:00,2025-11-05 10:43:57,-72.0,2.0,0.0,36.0,Beverages Coffee,COFFEE,cappuccino,Female,0.955,21–30,0.531
cluster_101_AccoID_1169004_20251105_111158.png,101,1169004,224602/88,2025-11-05 11:12:00,2025-11-05 11:11:58,-20.0,1.0,0.0,20.0,Beverages Cold,WATER,thirsty mineral still,Male,0.91,21–30,0.592
