image_name,cluster_id,AccoID,AccoDocNo,AccoDate,timestamp,AccoAmount,Quantity,Discount,UnitPrice,StockCateDesc,StockName,StockDesciption,predicted_gender,gender_confidence,predicted_age,age_confidence,InvNo,survey_gender,survey_age_group,survey_time,survey_completed
cluster_195_AccoID_1169630_20251105_145344.png,195,1169630,224701/184,2025-11-05 14:54:00,2025-11-05 14:53:44,-49.0,1.0,0.0,29.0,Mineral cooldrinks,ICE TEA,peach,Female,0.951,41–55,0.324,184.0,,,,False
cluster_195_AccoID_1169630_20251105_145344.png,195,1169630,224701/184,2025-11-05 14:54:00,2025-11-05 14:53:44,-49.0,1.0,0.0,20.0,Beverages Cold,WATER,thirsty mineral still,Female,0.951,41–55,0.324,184.0,,,,False
cluster_196_AccoID_1169635_20251105_145416.png,196,1169635,224702/185,2025-11-05 14:55:00,2025-11-05 14:54:16,-58.0,2.0,0.0,29.0,Mineral cooldrinks,COKE,zero,Female,0.991,56–65,0.664,185.0,,,,False
cluster_197_AccoID_1169630_20251105_145412.png,197,1169630,224701/184,2025-11-05 14:54:00,2025-11-05 14:54:12,-49.0,1.0,0.0,29.0,Mineral cooldrinks,ICE TEA,peach,Female,0.99,56–65,0.582,184.0,,,,False
cluster_197_AccoID_1169630_20251105_145412.png,197,1169630,224701/184,2025-11-05 14:54:00,2025-11-05 14:54:12,-49.0,1.0,0.0,20.0,Beverages Cold,WATER,thirsty mineral still,Female,0.99,56–65,0.582,184.0,,,,False
cluster_198_AccoID_1169630_20251105_145348.png,198,1169630,224701/184,2025-11-05 14:54:00,2025-11-05 14:53:48,-49.0,1.0,0.0,29.0,Mineral cooldrinks,ICE TEA,peach,Female,0.984,56–65,0.441,184.0,,,,False
cluster_198_AccoID_1169630_20251105_145348.png,198,1169630,224701/184,2025-11-05 14:54:00,2025-11-05 14:53:48,-49.0,1.0,0.0,20.0,Beverages Cold,WATER,thirsty mineral still,Female,0.984,56–65,0.441,184.0,,,,False
cluster_200_AccoID_1169098_20251105_113652.png,200,1169098,224618/100,2025-11-05 11:37:00,2025-11-05 11:36:52,-230.0,2.0,0.0,20.0,Beverages Cold,WATER,sparkling,Female,0.983,31–40,0.466,100.0,,,,False
cluster_200_AccoID_1169098_20251105_113652.png,200,1169098,224618/100,2025-11-05 11:37:00,2025-11-05 11:36:52,-230.0,2.0,0.0,36.0,Beverages Coffee,COFFEE,cappuccino,Female,0.983,31–40,0.466,100.0,,,,False
cluster_200_AccoID_1169098_20251105_113652.png,200,1169098,224618/100,2025-11-05 11:37:00,2025-11-05 11:36:52,-230.0,1.0,0.0,59.0,Toasted sandwiches,TOASTED SANDWICH,chicken and mayo,Female,0.983,31–40,0.466,100.0,,,,False
cluster_200_AccoID_1169098_20251105_113652.png,200,1169098,224618/100,2025-11-05 11:37:00,2025-11-05 11:36:52,-230.0,1.0,0.0,59.0,Toasted sandwiches,TOASTED SANDWICH,cheese and tomato pesta ,Female,0.983,31–40,0.466,100.0,,,,False
cluster_201_AccoID_1169341_20251105_125122.png,201,1169341,224658/142,2025-11-05 12:52:00,2025-11-05 12:51:22,-75.0,1.0,0.0,26.0,Beverages Tea,TEA,earl grey,Female,0.969,56–65,0.509,142.0,,,,False
cluster_201_AccoID_1169341_20251105_125122.png,201,1169341,224658/142,2025-11-05 12:52:00,2025-11-05 12:51:22,-75.0,1.0,0.0,10.0,Beverages Hot,BABY CHINO,none,Female,0.969,56–65,0.509,142.0,,,,False
cluster_201_AccoID_1169341_20251105_125122.png,201,1169341,224658/142,2025-11-05 12:52:00,2025-11-05 12:51:22,-75.0,1.0,0.0,39.0,Cakes,LEMON DRIZZLE,none,Female,0.969,56–65,0.509,142.0,,,,False
cluster_202_AccoID_1169239_20251105_122225.png,202,1169239,224642/125,2025-11-05 12:22:00,2025-11-05 12:22:25,-53.0,1.0,0.0,24.0,Beverages Tea,TEA,tea five roses,Female,0.999,56–65,0.467,125.0,,,,False
cluster_202_AccoID_1169239_20251105_122225.png,202,1169239,224642/125,2025-11-05 12:22:00,2025-11-05 12:22:25,-53.0,1.0,0.0,29.0,Beverages Coffee,COFFEE,americano,Female,0.999,56–65,0.467,125.0,,,,False
cluster_203_AccoID_1169136_20251105_115535.png,203,1169136,224624/109,2025-11-05 11:56:00,2025-11-05 11:55:35,-49.0,1.0,0.0,20.0,Beverages Coffee,COFFEE,americano black ,Female,0.945,56–65,0.564,109.0,,,,False
cluster_203_AccoID_1169136_20251105_115535.png,203,1169136,224624/109,2025-11-05 11:56:00,2025-11-05 11:55:35,-49.0,1.0,0.0,29.0,Beverages Coffee,COFFEE,cappuccino,Female,0.945,56–65,0.564,109.0,,,,False
cluster_205_AccoID_1169038_20251105_111945.png,205,1169038,224608/92,2025-11-05 11:21:00,2025-11-05 11:19:45,-112.0,1.0,0.0,83.0,Light lunches,SOUP OF THE DAY,pea bacon,Female,0.971,66–80,0.74,92.0,,,,False
cluster_205_AccoID_1169038_20251105_111945.png,205,1169038,224608/92,2025-11-05 11:21:00,2025-11-05 11:19:45,-112.0,1.0,0.0,29.0,Beverages Coffee,COFFEE,americano,Female,0.971,66–80,0.74,92.0,,,,False
cluster_206_AccoID_1168590_20251105_091629.png,206,1168590,224538/22,2025-11-05 09:17:00,2025-11-05 09:16:29,-36.0,1.0,0.0,36.0,Beverages Coffee,COFFEE,cappuccino,Female,0.781,11–20,0.724,22.0,Female,66-80,09:19:00,True
cluster_207_AccoID_1168576_20251105_091322.png,207,1168576,224536/21,2025-11-05 09:14:00,2025-11-05 09:13:22,-65.0,1.0,0.0,29.0,Beverages Coffee,COFFEE,americano,Female,0.658,31–40,0.377,21.0,Female,41-55,09:12:00,True
cluster_207_AccoID_1168576_20251105_091322.png,207,1168576,224536/21,2025-11-05 09:14:00,2025-11-05 09:13:22,-65.0,1.0,0.0,36.0,Beverages Tea,RED CAPPUCCINO,none,Female,0.658,31–40,0.377,21.0,Female,41-55,09:12:00,True
cluster_208_AccoID_1169182_20251105_120451.png,208,1169182,224632/117,2025-11-05 12:06:00,2025-11-05 12:04:51,-0.01,1.0,0.0,0.01,Specials,SPECIAL,cappuccino regular,Female,0.983,31–40,0.671,117.0,,,,False
cluster_209_AccoID_1169057_20251105_112648.png,209,1169057,224611/93,2025-11-05 11:28:00,2025-11-05 11:26:48,-306.0,1.0,0.0,119.0,Light lunches,QUICHES,bacon and mushroom,Female,0.985,56–65,0.362,93.0,,,,False
